Designator,Mid X,Mid Y,Rotation,Layer
D30,185.388767,-112.760642,90.0,bottom
D31,188.9606425618406,-144.90751760183863,105.0,bottom
D32,166.338767,-68.707517,90.0,bottom
D33,166.338767,-87.757517,90.0,bottom
D34,166.338767,-106.807517,90.0,bottom
D35,166.338767,-125.857517,90.0,bottom
D36,147.288767,-67.516892,90.0,bottom
D37,147.288767,-86.566892,90.0,bottom
D38,147.288767,-105.616892,90.0,bottom
D39,147.288767,-124.666892,90.0,bottom
D40,148.479392,-144.907517,90.0,bottom
D41,128.238767,-63.945017,90.0,bottom
D42,128.238767,-82.995017,90.0,bottom
D43,128.238767,-102.045017,90.0,bottom
D44,128.238767,-121.095017,90.0,bottom
D45,129.429392,-143.716892,90.0,bottom
D46,109.188767,-67.516892,90.0,bottom
D47,109.188767,-86.566892,90.0,bottom
D48,109.188767,-105.616892,90.0,bottom
D49,109.188767,-124.666892,90.0,bottom
D50,119.904392,-133.001267,0.0,bottom
D51,90.138767,-71.088767,90.0,bottom
D52,90.138767,-90.138767,90.0,bottom
D53,90.138767,-109.188767,90.0,bottom
D54,90.138767,-128.238767,90.0,bottom
D55,80.613767,-82.995017,0.0,bottom
D56,80.613767,-102.045017,0.0,bottom
D57,80.613767,-121.095017,0.0,bottom
D58,99.663767,-118.713767,0.0,bottom
D60,167.529392,-144.907517,90.0,bottom
DISPLAY2,197.295017,-93.551892,0.0,top
J2,190.541892,-133.735642,90.0,bottom
R2,187.770017,-98.473142,90.0,top
S30,194.913767,-110.595642,0.0,top
S31,199.04598523264698,-146.38816258608415,345.0,top
S32,175.863767,-66.542517,0.0,top
S33,175.863767,-85.592517,0.0,top
S34,175.863767,-104.642517,0.0,top
S35,175.863767,-123.692517,0.0,top
S36,156.813767,-65.351892,0.0,top
S37,156.813767,-84.401892,0.0,top
S38,156.813767,-103.451892,0.0,top
S39,156.813767,-122.501892,0.0,top
S40,158.004392,-142.742517,0.0,top
S41,137.763767,-61.780017,0.0,top
S42,137.763767,-80.830017,0.0,top
S43,137.763767,-99.880017,0.0,top
S44,137.763767,-118.930017,0.0,top
S45,138.954392,-141.551892,0.0,top
S46,118.713767,-64.161267,0.0,top
S47,118.713767,-83.211267,0.0,top
S48,118.713767,-102.261267,0.0,top
S49,118.713767,-121.311267,0.0,top
S50,119.904392,-140.361267,0.0,top
S51,99.663767,-68.923767,0.0,top
S52,99.663767,-87.973767,0.0,top
S53,99.663767,-107.023767,0.0,top
S54,99.663767,-126.073767,0.0,top
S55,80.613767,-71.305017,0.0,top
S56,80.613767,-90.355017,0.0,top
S57,80.613767,-109.405017,0.0,top
S58,80.613767,-128.455017,0.0,top
S60,177.054392,-142.742517,0.0,top
SW3,203.248142,-133.001267,270.0,top
SW4,197.295017,-100.854392,0.0,top
U1,197.295017,-75.851267,0.0,top
U4,190.545017,-124.666892,270.0,top
