Designator,Mid X,Mid Y,Rotation,Layer
D1,167.529399,-72.279399,90.0,bottom
D10,224.679399,-90.138774,90.0,bottom
D11,243.729399,-93.710649,90.0,bottom
D12,253.254399,-105.616899,180.0,bottom
D13,167.529399,-110.379399,90.0,bottom
D14,186.579399,-109.188774,90.0,bottom
D15,205.629399,-105.616899,90.0,bottom
D16,224.679399,-109.188774,90.0,bottom
D17,243.729399,-112.760649,90.0,bottom
D18,253.254399,-124.666899,180.0,bottom
D19,167.529399,-129.429399,90.0,bottom
D2,186.579399,-71.088774,90.0,bottom
D20,186.579399,-128.238774,90.0,bottom
D21,205.629399,-124.666899,90.0,bottom
D22,224.679399,-128.238774,90.0,bottom
D23,243.729399,-131.810649,90.0,bottom
D24,234.204399,-122.285649,180.0,bottom
D25,148.479399,-116.332524,90.0,bottom
D26,213.963774,-136.573149,180.0,bottom
D27,204.438774,-147.288774,90.0,bottom
D28,185.388774,-148.479399,90.0,bottom
D29,145.1120484381594,-148.60922160183864,75.0,bottom
D3,205.629399,-67.516899,90.0,bottom
D4,224.679399,-71.088774,90.0,bottom
D5,243.729399,-74.660649,90.0,bottom
D59,166.338774,-148.479399,90.0,bottom
D6,253.254399,-86.566899,180.0,bottom
D7,167.529399,-91.329399,90.0,bottom
D8,186.579399,-90.138774,90.0,bottom
D9,205.629399,-86.566899,90.0,bottom
DISPLAY1,136.573149,-97.123774,0.0,top
J1,143.326274,-135.957524,270.0,bottom
R1,146.098149,-102.045024,90.0,top
S1,158.004399,-70.114399,0.0,top
S10,215.154399,-86.783149,0.0,top
S11,234.204399,-91.545649,0.0,top
S12,253.254399,-93.926899,0.0,top
S13,158.004399,-108.214399,0.0,top
S14,177.054399,-107.023774,0.0,top
S15,196.104399,-103.451899,0.0,top
S16,215.154399,-105.833149,0.0,top
S17,234.204399,-110.595649,0.0,top
S18,253.254399,-112.976899,0.0,top
S19,158.004399,-127.264399,0.0,top
S2,177.054399,-68.923774,0.0,top
S20,177.054399,-126.073774,0.0,top
S21,196.104399,-122.501899,0.0,top
S22,215.154399,-124.883149,0.0,top
S23,234.204399,-129.645649,0.0,top
S24,253.254399,-132.026899,0.0,top
S25,138.954399,-114.167524,0.0,top
S26,213.963774,-143.933149,0.0,top
S27,194.913774,-145.123774,0.0,top
S28,175.863774,-146.314399,0.0,top
S29,134.82218076735302,-149.96004458608417,15.0,top
S3,196.104399,-65.351899,0.0,top
S4,215.154399,-67.733149,0.0,top
S5,234.204399,-72.495649,0.0,top
S59,156.813774,-146.314399,0.0,top
S6,253.254399,-74.876899,0.0,top
S7,158.004399,-89.164399,0.0,top
S8,177.054399,-87.973774,0.0,top
S9,196.104399,-84.401899,0.0,top
SW1,130.620024,-136.882524,90.0,top
SW2,136.573149,-104.426274,0.0,top
U2,136.573149,-79.423149,0.0,top
U3,142.973149,-128.238774,90.0,top
