Designator,Mid X,Mid Y,Rotation,Layer
D30,197.295017,-112.760642,90.0,bottom
D31,200.8668925618406,-144.90751760183863,105.0,bottom
D32,178.245017,-68.707517,90.0,bottom
D33,178.245017,-87.757517,90.0,bottom
D34,178.245017,-106.807517,90.0,bottom
D35,178.245017,-125.857517,90.0,bottom
D36,159.195017,-67.516892,90.0,bottom
D37,159.195017,-86.566892,90.0,bottom
D38,159.195017,-105.616892,90.0,bottom
D39,159.195017,-124.666892,90.0,bottom
D40,160.385642,-144.907517,90.0,bottom
D41,140.145017,-63.945017,90.0,bottom
D42,140.145017,-82.995017,90.0,bottom
D43,140.145017,-102.045017,90.0,bottom
D44,140.145017,-121.095017,90.0,bottom
D45,141.335642,-143.716892,90.0,bottom
D46,121.095017,-67.516892,90.0,bottom
D47,121.095017,-86.566892,90.0,bottom
D48,121.095017,-105.616892,90.0,bottom
D49,121.095017,-124.666892,90.0,bottom
D50,131.810642,-133.001267,0.0,bottom
D51,102.045017,-71.088767,90.0,bottom
D52,102.045017,-90.138767,90.0,bottom
D53,102.045017,-109.188767,90.0,bottom
D54,102.045017,-128.238767,90.0,bottom
D55,92.520017,-82.995017,0.0,bottom
D56,92.520017,-102.045017,0.0,bottom
D57,92.520017,-121.095017,0.0,bottom
D58,111.570017,-118.713767,0.0,bottom
D60,179.435642,-144.907517,90.0,bottom
DISPLAY2,209.201267,-93.551892,0.0,top
J2,202.448142,-133.735642,90.0,bottom
R2,199.676267,-98.473142,90.0,top
S30,206.820017,-110.595642,0.0,top
S31,210.95223523264698,-146.38816258608415,345.0,top
S32,187.770017,-66.542517,0.0,top
S33,187.770017,-85.592517,0.0,top
S34,187.770017,-104.642517,0.0,top
S35,187.770017,-123.692517,0.0,top
S36,168.720017,-65.351892,0.0,top
S37,168.720017,-84.401892,0.0,top
S38,168.720017,-103.451892,0.0,top
S39,168.720017,-122.501892,0.0,top
S40,169.910642,-142.742517,0.0,top
S41,149.670017,-61.780017,0.0,top
S42,149.670017,-80.830017,0.0,top
S43,149.670017,-99.880017,0.0,top
S44,149.670017,-118.930017,0.0,top
S45,150.860642,-141.551892,0.0,top
S46,130.620017,-64.161267,0.0,top
S47,130.620017,-83.211267,0.0,top
S48,130.620017,-102.261267,0.0,top
S49,130.620017,-121.311267,0.0,top
S50,131.810642,-140.361267,0.0,top
S51,111.570017,-68.923767,0.0,top
S52,111.570017,-87.973767,0.0,top
S53,111.570017,-107.023767,0.0,top
S54,111.570017,-126.073767,0.0,top
S55,92.520017,-71.305017,0.0,top
S56,92.520017,-90.355017,0.0,top
S57,92.520017,-109.405017,0.0,top
S58,92.520017,-128.455017,0.0,top
S60,188.960642,-142.742517,0.0,top
SW3,215.154392,-133.001267,270.0,top
SW4,209.201267,-100.854392,0.0,top
U1,209.201267,-75.851267,0.0,top
U4,202.451267,-124.666892,270.0,top
